cruz_alt,min_lat,max_lat,min_long,max_long,min_alt,max_alt,min_rocd,max_rocd,min_tas,max_tas,min_course,max_course,min_fpa,max_fpa,min_ph,max_ph
28000,33.27432251,33.99868011,-115.2680511,-112.8457184,9514.769531,28000,-38.33333206,0,286.8279114,424,88.22238922,133.8558807,-0.508018434,5.756321907,11,16
29000,33.27430725,33.99866104,-115.2680206,-112.8240585,9500.917969,29000,-38.66666794,0,286.7660522,431,88.22238922,133.887146,-0.529507637,5.755272865,11,16
30000,33.27430725,33.99864197,-115.2679977,-112.8069305,9489.585938,30000,-39.08333206,0,286.7155762,437.5,65.82342529,133.9319153,-0.551882088,5.761180878,11,16
31000,33.27433777,33.99862289,-115.2679749,-112.7886047,9474.786133,31000,-39.5,0,286.6495667,444,65.82342529,133.7815399,-0.578145981,5.756316185,11,16
32000,33.27432632,33.99860764,-115.267952,-112.7728271,9463.146484,32000,-47.5,0,286.5977478,449,65.82342529,133.858139,-0.604274929,5.756309509,11,16
33000,33.27430725,33.99858475,-115.2679291,-112.7576904,9449.292969,33000,-55.5,0,286.5360107,454,65.82342529,133.8124695,-0.63056308,5.759430885,11,16
34000,33.27432251,33.99858475,-115.2679291,-112.7534256,9455.124023,34000,-55.44041061,0,286.5625916,453.9462585,65.822258,133.8108826,-0.645096898,5.757844925,11,16
