timestamp,latitude,longitude,altitude
1544833592,30.78723,-84.0861,360
1544833605,30.81112,-84.10388,360
1544833617,30.83334,-84.12082,360
1544833630,30.85612,-84.13805,360
1544833642,30.87695,-84.15388,360
1544833655,30.90084,-84.17193,360
1544833667,30.92362,-84.18916,360
1544833679,30.94612,-84.20638,360
1544833692,30.97057,-84.22471,358
1544833704,30.99168,-84.24082,356
1544833717,31.01612,-84.25943,354
1544833729,31.0614,-84.2936,350
1544833742,31.08418,-84.31082,348
1544833754,31.10695,-84.32832,346
1544833767,31.13029,-84.34638,344
1544833779,31.15279,-84.36332,342
1544833791,31.17695,-84.38193,340
1544833804,31.20001,-84.39916,340
1544833816,31.22334,-84.41693,340
1544833829,31.24501,-84.4336,340
1544833841,31.26973,-84.45221,340
1544833854,31.29195,-84.46916,340
1544833866,31.31501,-84.48666,340
1544833878,31.33779,-84.50416,340
1544833891,31.36057,-84.52166,340
1544833903,31.38501,-84.53999,340
1544833916,31.40862,-84.55832,340
1544833928,31.43112,-84.57555,340
1544833941,31.45418,-84.59332,340
1544833953,31.47834,-84.60971,340
1544833966,31.50557,-84.62582,340
1544833978,31.53195,-84.63916,340
1544833990,31.55779,-84.65193,340
1544834003,31.58362,-84.66499,340
1544834015,31.61029,-84.67805,340
1544834028,31.63445,-84.69027,340
1544834042,31.66168,-84.70388,340
1544834054,31.68779,-84.71693,340
1544834066,31.71584,-84.7311,340
1544834079,31.74195,-84.74388,340
1544834091,31.79501,-84.77055,340
1544834104,31.82029,-84.78332,340
1544834116,31.84723,-84.79666,340
1544834129,31.87362,-84.80999,339
1544834141,31.89973,-84.82305,335
1544834154,31.92695,-84.83693,330
1544834166,31.95473,-84.85055,323
1544834178,31.98084,-84.86332,317
1544834191,32.00779,-84.87582,314
1544834203,32.03418,-84.88777,311
1544834216,32.06057,-84.89999,308
1544834228,32.08557,-84.91138,305
1544834241,32.10973,-84.92221,304
1544834253,32.13557,-84.93416,302
1544834265,32.15779,-84.94471,297
1544834278,32.18168,-84.95582,293
1544834290,32.2064,-84.96777,290
1544834303,32.22807,-84.9786,286
1544834315,32.25223,-84.99027,282
1544834328,32.2739,-85.00221,278
1544834340,32.29362,-85.02055,274
1544834353,32.31029,-85.03721,270
1544834365,32.32695,-85.0536,266
1544834377,32.34334,-85.07027,262
1544834390,32.36112,-85.08777,258
1544834403,32.37723,-85.10416,255
1544834415,32.39168,-85.11971,253
1544834428,32.40668,-85.13555,248
1544834440,32.42112,-85.15166,244
1544834453,32.43584,-85.16888,238
1544834462.247,32.46438,-85.20024,229
1544834467.503,32.47094,-85.20751,227
1544834475.165,32.48121,-85.2174,225
1544834480.281,32.48955,-85.2216,223
1544834485.028,32.4975,-85.22518,221
1544834494.07,32.51307,-85.23088,218
1544834498.965,32.52167,-85.23346,216
1544834502.901,32.52877,-85.23519,214
1544834511.205,32.54344,-85.23757,212
1544834520.888,32.56144,-85.23905,210
1544834528.725,32.57605,-85.23943,207
1544834534.17,32.58551,-85.23987,206
1544834538.364,32.59301,-85.24013,205
1544834542.65,32.60078,-85.2404,204
1544834546.846,32.60834,-85.24075,203
1544834554.695,32.6223,-85.24136,201
1544834559.422,32.63078,-85.24179,200
1544834562.815,32.63652,-85.24205,199
1544834568.411,32.64656,-85.24249,197
1544834576.539,32.66078,-85.24318,196
1544834581.445,32.66919,-85.2436,196
1544834585.631,32.67643,-85.24403,195
1544834593.66,32.68993,-85.24495,193
1544834598.667,32.69828,-85.24545,191
1544834603.616,32.70657,-85.24603,190
1544834611.64,32.72,-85.24687,188
1544834616.088,32.72737,-85.24738,187
1544834620.333,32.73435,-85.24772,185
1544834629.271,32.74928,-85.24849,182
1544834634.221,32.75757,-85.24884,181
1544834641.385,32.76944,-85.24945,178
1544834646.29,32.77772,-85.24972,176
1544834655.229,32.79272,-85.24995,174
1544834659.521,32.79997,-85.24968,173
1544834663.61,32.80682,-85.24848,172
1544834667.855,32.81394,-85.24728,171
1544834675.195,32.82607,-85.24564,169
1544834680.181,32.8343,-85.24468,168
1544834688.866,32.84859,-85.24306,166
1544834697.804,32.86308,-85.24143,164
1544834701.902,32.86973,-85.24069,163
1544834705.944,32.87626,-85.23995,162
1544834713.974,32.88918,-85.23839,160
1544834722.005,32.90204,-85.23668,157
1544834727.003,32.91,-85.23556,156
1544834731.958,32.91777,-85.23459,155
1544834736.046,32.92423,-85.23377,155
1544834745.639,32.93917,-85.23207,153
1544834749.731,32.94544,-85.23141,152
1544834757.435,32.95744,-85.23007,150
1544834761.625,32.96332,-85.22933,150
1544834766.654,32.97082,-85.22844,148
1544834770.644,32.97676,-85.22769,148
1544834779.633,32.98988,-85.22582,146
1544834784.589,32.99693,-85.22423,144
1544834792.921,33.00804,-85.21902,141
1544834800.455,33.01758,-85.21342,138
1544834809.534,33.0287,-85.20495,133
1544834814.231,33.03406,-85.20002,132
1544834822.372,33.04251,-85.19022,128
1544834827.118,33.0469,-85.18389,126
1544834834.365,33.05293,-85.17393,122
1544834839.225,33.057,-85.16705,120
1544834844.292,33.06139,-85.15987,118
1544834853.534,33.06945,-85.14712,116
1544834858.181,33.07351,-85.14078,114
1544834862.326,33.07712,-85.13522,113
1544834869.875,33.08399,-85.12478,112
1544834874.953,33.08812,-85.11844,112
1544834877.965,33.09087,-85.11427,111
1544834883.033,33.09513,-85.10778,111
1544834887.99,33.09945,-85.1012,110
1544834892.985,33.10371,-85.09455,110
1544834900.969,33.11045,-85.08388,109
1544834905.054,33.11392,-85.07831,109
1544834909.911,33.11792,-85.07174,109
1544834914.048,33.12138,-85.06617,109
1544834921.425,33.12734,-85.05634,109
1544834926.677,33.13186,-85.04891,108
1544834934.909,33.1388,-85.03753,105
1544834939.765,33.14292,-85.0308,104
1544834944.512,33.14698,-85.02414,103
1544834948.707,33.15051,-85.01834,102
1544834953.453,33.15457,-85.0116,101
1544834961.584,33.16137,-85.0003,100
1544834969.645,33.16798,-84.98938,98
1544834974.773,33.17229,-84.98233,97
1544834979.818,33.17648,-84.97536,96
1544834988.656,33.18374,-84.96358,94
1544834996.745,33.1904,-84.95289,92
1544835001.192,33.194,-84.947,91
1544835005.378,33.1974,-84.94142,89
